dataset,time_1,accuracy_1,precision_1,recall_1,f1score_1,error_1,time_2,accuracy_2,precision_2,recall_2,f1score_2,error_2,time_3,accuracy_3,precision_3,recall_3,f1score_3,error_3,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,model_1,model_2,model_3
AP_Breast_Lung,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 175050ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 177324ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 176421ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
AP_Omentum_Ovary,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 177995ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 177645ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 177867ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
AP_Prostate_Ovary,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 177478ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 177647ms.,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
AirlinesCodrnaAdult,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 165098ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 163397ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 163436ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Amazon,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 175314ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 174649ms.,1981.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 176836ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
CovPokElec,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 143739ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 144695ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 141716ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
KDDCup99,1919.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 111935ms.,1942.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 135946ms.,1933.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 124777ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
cifar-10,45.0,0.0,0.0,0.0,0.0,,42.0,0.0,0.0,0.0,0.0,,45.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
connect-4,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 178791ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179028ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 178449ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
dataset_60_waveform-5000,1799.0,0.8672,0.8672088585941022,0.8672,0.8671814905869325,,1799.0,0.8632,0.8634012599874957,0.8632,0.8632478620221807,,1798.0,0.8656,0.8658212497980948,0.8656,0.8656672077368303,,0.8653333333333334,0.0016438437341250653,0.865477122793231,0.0015733762707132724,0.8653333333333334,0.0016438437341250653,0.8653655201153145,0.0016200041125646644,"[SupervisedFilterSelector [searcher=weka.attributeSelection.Ranker, evaluator=weka.attributeSelection.PrincipalComponents]] (preprocessors), weka.classifiers.functions.SimpleLogistic- [-I, 0, -M, 500, -H, 50, -W, 0.0, -A] (classifier)","[SupervisedFilterSelector [searcher=weka.attributeSelection.Ranker, evaluator=weka.attributeSelection.PrincipalComponents]] (preprocessors), weka.classifiers.functions.Logistic- [-R, 1.0E-8, -M, -1, -num-decimal-places, 4] (classifier)","[SupervisedFilterSelector [searcher=weka.attributeSelection.Ranker, evaluator=weka.attributeSelection.PrincipalComponents]] (preprocessors), weka.classifiers.functions.SimpleLogistic- [-I, 0, -S, -M, 500, -H, 50, -W, 0.0, -A] (classifier)"
dataset_61_iris,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179980ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179977ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179976ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
dataset_9_autos,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179975ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179977ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179964ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
devnagari,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 158519ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 159564ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 155861ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
electricity-normalized,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179296ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179317ms.,1906.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 104200ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
eye_movements,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179727ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179739ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179697ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
hiva_agnostic,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 176519ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 176795ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 177838ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
ipums_la_99-small,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179583ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179606ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179627ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
leukemia,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179474ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179455ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179467ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lymphoma_2classes,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179746ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179736ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179745ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
mfeat-pixel,1798.0,0.994,0.9940395604395604,0.9940000000000001,0.9939131486289432,,1797.0,0.994,0.9940395604395604,0.9940000000000001,0.9939131486289432,,,,,,,,0.994,0.0,0.9940395604395604,0.0,0.9940000000000001,0.0,0.9939131486289432,0.0,"[SupervisedFilterSelector [searcher=weka.attributeSelection.Ranker, evaluator=weka.attributeSelection.PrincipalComponents]] (preprocessors), weka.classifiers.functions.SMO- [-C, 1.0, -L, 0.001, -P, 1.0E-12, -N, 0, -V, -1, -W, 1, -K, weka.classifiers.functions.supportVector.Puk -O 1.0 -S 1.0 -C 250007, -calibrator, weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4] (classifier)","[SupervisedFilterSelector [searcher=weka.attributeSelection.BestFirst, evaluator=weka.attributeSelection.CfsSubsetEval]] (preprocessors), weka.classifiers.trees.RandomForest- [-P, 100, -I, 20, -num-slots, 1, -K, 7, -M, 1.0, -V, 0.001, -S, 1] (classifier)",
phpB0xrNj,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 174560ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 177424ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 177327ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
phpGReJjU,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179724ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179703ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179762ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
phpWfYmlu,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179813ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179794ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179812ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
phpfLuQE4,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 179107ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 178627ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 178622ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
phprAeXmK,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 168591ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 170891ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 171196ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
pokerhand-normalized,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 177071ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 175794ms.,1980.0,0.0,0.0,0.0,0.0,Timeout was triggered with a delay of 174692ms.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
